Date,Open,High,Low,Close,Volume
14-Jun-17,800.18,802.96,793.22,800.97,"165,672,524"
15-Jun-17,799.25,800.76,793.32,799.73,"104,360,555"
16-Jun-17,801.97,814.63,801.97,806.12,"198,082,428"
19-Jun-17,809.48,823.33,809.25,821.22,"82,428,696"
20-Jun-17,824.33,827.56,818.52,827.01,"72,345,296"
21-Jun-17,823.27,825.17,818.52,823.32,"40,123,297"
22-Jun-17,823.02,828.32,814.75,814.81,"102,874,078"
23-Jun-17,815.56,822.52,809.13,820.52,"92,433,112"
26-Jun-17,825.73,827.52,818.83,819.09,"73,873,171"
27-Jun-17,819.33,823.13,814.91,822.77,"43,744,541"
28-Jun-17,820.42,827.66,819.86,822.62,"72,461,494"
29-Jun-17,823.65,824.58,819.25,819.72,"59,633,172"
30-Jun-17,821.12,825.55,817.64,823.74,"72,900,528"
3-Jul-17,823.95,829.56,823.57,827.65,"67,865,095"
4-Jul-17,827.6,829.88,825.72,825.89,"68,574,416"
5-Jul-17,824.56,841.69,824.56,841.34,"77,847,314"
6-Jul-17,842.41,846.44,839.98,843.25,"106,552,938"
7-Jul-17,842.03,844.66,835.93,837.43,"59,161,574"
10-Jul-17,839.84,845.06,837.55,843.83,"49,705,127"
11-Jul-17,846.76,850.96,838.85,844.33,"123,281,293"
12-Jul-17,845.07,850.88,842.15,843.22,"142,495,463"
13-Jul-17,845.36,854.14,844.59,853.54,"110,327,046"
14-Jul-17,855.53,857.75,852.6,856.47,"79,233,577"
17-Jul-17,858.96,859.78,853.87,858.08,"62,626,175"
18-Jul-17,856.01,856.98,846.17,848.07,"69,836,308"
19-Jul-17,849.12,854.47,846.33,853.54,"52,065,298"
20-Jul-17,856.05,859,850.07,854.54,"52,463,959"
21-Jul-17,851.88,852.42,843.9,845.97,"71,690,118"
24-Jul-17,846.13,849.6,842.6,849.07,"185,043,239"
25-Jul-17,850.36,850.36,840.22,843.05,"84,688,890"
26-Jul-17,842.56,844.4,827.53,830.21,"77,088,222"
27-Jul-17,829.57,833.99,818.5,818.63,"81,501,532"
28-Jul-17,817.86,825.08,817.61,820.02,"66,214,723"
31-Jul-17,820.05,820.05,809.38,812.21,"46,629,260"
1-Aug-17,812.6,822.36,812.6,817.74,"49,839,740"
2-Aug-17,820.72,826.21,819.06,826.02,"31,664,194"
3-Aug-17,827.8,828.96,822.12,825.8,"29,921,389"
4-Aug-17,824.57,830.6,823.87,829.5,"21,558,630"
7-Aug-17,830.68,832.7,827.14,827.86,"25,715,411"
8-Aug-17,827.36,832.78,827.36,830.44,"44,095,383"
9-Aug-17,829.95,833.66,825.96,833.61,"19,886,533"
10-Aug-17,833.46,839.59,832.65,833.78,"26,514,858"
11-Aug-17,832.86,833.32,823.55,823.55,"40,916,932"
14-Aug-17,824.31,828.94,824.31,827.77,"21,704,183"
16-Aug-17,831.51,843.69,830.68,842.41,"42,014,020"
17-Aug-17,844.15,844.23,829.97,832.06,"35,707,846"
18-Aug-17,829.8,829.8,822.93,824.85,"29,722,425"
21-Aug-17,832.3,833.21,826.41,826.46,"24,289,574"
22-Aug-17,827.77,833.19,825.8,832.78,"22,797,299"
23-Aug-17,833.54,835.75,827.96,829.16,"16,333,516"
24-Aug-17,828.67,835.61,827.69,835.55,"15,481,862"
25-Aug-17,835.59,835.66,830.64,835.3,"15,790,994"
28-Aug-17,834.13,838.75,832.5,838.47,"15,881,138"
29-Aug-17,835.19,835.55,820.01,822.67,"37,147,286"
30-Aug-17,827.53,829.88,822.48,823.65,"28,231,774"
31-Aug-17,824.04,826.3,818.86,825.48,"34,970,131"
1-Sep-17,822.67,826.68,817.85,818.66,"24,470,658"
4-Sep-17,817.54,817.54,808.63,808.88,"39,473,636"
5-Sep-17,809.18,814.04,805.27,812.85,"30,980,292"
6-Sep-17,811.8,816.74,805.74,811.7,"36,409,536"
7-Sep-17,814.58,817.82,811.02,811.04,"56,541,912"
8-Sep-17,811.8,814.64,802.45,802.72,"38,492,679"
11-Sep-17,803.52,809.75,800.3,806.06,"38,880,659"
12-Sep-17,806.47,811.76,806.47,810.75,"40,925,077"
13-Sep-17,810.83,814.94,809.22,809.98,"48,145,924"
14-Sep-17,812.27,812.5,789.5,790.97,"68,898,799"
15-Sep-17,787.97,788.13,773.81,776.2,"134,253,425"
18-Sep-17,779.6,781.64,759.69,760.79,"95,182,908"
19-Sep-17,758.46,763.26,755.07,762.86,"65,409,884"
20-Sep-17,765.53,765.88,738.08,757.98,"117,590,078"
21-Sep-17,759.52,776.34,759.52,765.99,"117,573,930"
22-Sep-17,768.14,775.91,763.51,773.94,"71,296,415"
25-Sep-17,770.73,770.73,739.12,742.49,"97,042,432"
26-Sep-17,740.29,745.72,725.03,740.37,"259,389,020"
27-Sep-17,743.62,745.12,730.79,736.64,"156,681,479"
28-Sep-17,738.71,762.03,738.71,754.76,"122,786,169"
29-Sep-17,756.27,761.95,751.67,755.61,"52,487,335"
2-Oct-17,756.5,758.24,740.57,746.48,"48,101,798"
3-Oct-17,748.61,760.39,747.27,752.44,"32,104,820"
4-Oct-17,756.58,758.69,748.91,750.72,"27,393,414"
5-Oct-17,751.1,754.48,744.8,744.8,"41,188,171"
6-Oct-17,745.17,751.41,744.13,745.55,"51,472,802"
9-Oct-17,748.18,753.93,747.55,750.17,"37,011,421"
10-Oct-17,750.79,756.5,750.79,755.03,"52,192,308"
11-Oct-17,755.6,757.76,748.35,748.61,"41,762,946"
12-Oct-17,748.93,753.5,747.24,751.35,"34,615,137"
13-Oct-17,752.55,764.27,752.39,761.35,"55,355,489"
16-Oct-17,763.67,770.1,763.67,765.72,"46,810,460"
17-Oct-17,766.11,767.63,760.75,761.82,"39,166,998"
18-Oct-17,762.15,766.06,757.14,757.49,"36,904,867"
19-Oct-17,757.16,757.78,742.28,746.45,"45,562,156"
20-Oct-17,747.08,750.61,742.75,749.23,"23,804,517"
23-Oct-17,747.99,747.99,733.64,734.52,"33,349,831"
24-Oct-17,737.16,739.45,732.53,737.19,"38,861,614"
25-Oct-17,737.93,738.48,732,737.25,"44,906,109"
26-Oct-17,737.15,746.44,737.03,739.8,"30,560,127"
27-Oct-17,741.83,747.45,739.22,739.22,"32,116,388"
30-Oct-17,740.34,746.09,738.45,743.57,"29,861,535"
31-Oct-17,746.42,759.71,745.76,759.3,"44,310,286"
1-Nov-17,761.46,771.92,759.01,767.07,"66,939,370"
2-Nov-17,767.39,770.19,761.15,762.49,"42,334,650"
3-Nov-17,762.24,770.37,761.21,763.56,"35,832,907"
6-Nov-17,763.31,765.13,755.23,761.91,"22,542,708"
7-Nov-17,764.86,766.45,748.44,748.44,"50,249,498"
8-Nov-17,750.21,752.47,741.69,741.98,"53,868,571"
9-Nov-17,741.12,745.6,738.42,741.13,"46,411,450"
10-Nov-17,743.5,744.94,731.3,734.12,"35,431,288"
13-Nov-17,731.38,731.38,714.14,717.47,"50,454,903"
14-Nov-17,718.69,726.35,717.43,720.18,"32,220,538"
15-Nov-17,719.23,727.08,711.88,718.8,"57,656,442"
16-Nov-17,721.72,724.67,701.36,701.36,"69,064,792"
17-Nov-17,703.19,714.23,700.11,712.46,"89,429,139"
20-Nov-17,712.83,713.64,704.99,710.27,"32,789,957"
21-Nov-17,709.9,722.71,707.14,721.67,"48,305,985"
22-Nov-17,722.23,726.02,718.98,720.13,"49,118,516"
23-Nov-17,719.64,726.18,715.28,720.56,"20,422,982"
24-Nov-17,720.94,729.25,720.94,723.18,"35,474,947"
27-Nov-17,724.63,725.72,718.57,724.39,"22,984,614"
28-Nov-17,722.96,730.53,722.96,726.17,"32,707,419"
29-Nov-17,730.17,742.64,730.17,738.31,"83,638,179"
30-Nov-17,738.47,741.64,728.85,740.2,"61,141,049"
1-Dec-17,741.12,750.51,736.9,748.66,"92,641,844"
4-Dec-17,749.69,758.8,741.55,741.84,"76,518,609"
5-Dec-17,740.61,742.14,728.79,730.43,"41,319,597"
6-Dec-17,729.11,736.69,724.71,727.53,"40,438,770"
7-Dec-17,728.37,731.34,723.6,728.76,"26,766,421"
8-Dec-17,730.13,740.89,729.64,740.72,"54,922,818"
11-Dec-17,739.86,742.46,735.88,738.47,"29,638,541"
12-Dec-17,739.97,742.05,736.42,738.44,"24,880,798"
13-Dec-17,736.48,750.23,736.48,749.76,"55,620,730"
14-Dec-17,749.8,769.36,749.64,767.57,"92,920,799"
15-Dec-17,766.91,771.31,763.3,767.76,"100,483,948"
18-Dec-17,767.5,785.06,767.43,783.76,"60,467,803"
19-Dec-17,783.06,786.35,776.03,783.99,"52,798,403"
20-Dec-17,783.32,794.12,783.32,789.74,"61,301,254"
