Class,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8
0,0.517172481,0.449508586,0.436008208,0.419537747,0.393833027,0.411329517,0.460146884,0.43465817
1,0.537909061,0.517172481,0.449508586,0.436008208,0.419537747,0.393833027,0.411329517,0.460146884
1,0.531212874,0.537909061,0.517172481,0.449508586,0.436008208,0.419537747,0.393833027,0.411329517
1,0.56571984,0.531212874,0.537909061,0.517172481,0.449508586,0.436008208,0.419537747,0.393833027
0,0.647262123,0.56571984,0.531212874,0.537909061,0.517172481,0.449508586,0.436008208,0.419537747
0,0.678528999,0.647262123,0.56571984,0.531212874,0.537909061,0.517172481,0.449508586,0.436008208
1,0.658602441,0.678528999,0.647262123,0.56571984,0.531212874,0.537909061,0.517172481,0.449508586
0,0.612647154,0.658602441,0.678528999,0.647262123,0.56571984,0.531212874,0.537909061,0.517172481
1,0.643482017,0.612647154,0.658602441,0.678528999,0.647262123,0.56571984,0.531212874,0.537909061
0,0.635759801,0.643482017,0.612647154,0.658602441,0.678528999,0.647262123,0.56571984,0.531212874
0,0.655632358,0.635759801,0.643482017,0.612647154,0.658602441,0.678528999,0.647262123,0.56571984
1,0.654822335,0.655632358,0.635759801,0.643482017,0.612647154,0.658602441,0.678528999,0.647262123
1,0.639161897,0.654822335,0.655632358,0.635759801,0.643482017,0.612647154,0.658602441,0.678528999
0,0.660870504,0.639161897,0.654822335,0.655632358,0.635759801,0.643482017,0.612647154,0.658602441
1,0.681985096,0.660870504,0.639161897,0.654822335,0.655632358,0.635759801,0.643482017,0.612647154
1,0.672480829,0.681985096,0.660870504,0.639161897,0.654822335,0.655632358,0.635759801,0.643482017
0,0.755913166,0.672480829,0.681985096,0.660870504,0.639161897,0.654822335,0.655632358,0.635759801
1,0.766227454,0.755913166,0.672480829,0.681985096,0.660870504,0.639161897,0.654822335,0.655632358
1,0.734798574,0.766227454,0.755913166,0.672480829,0.681985096,0.660870504,0.639161897,0.654822335
0,0.769359542,0.734798574,0.766227454,0.755913166,0.672480829,0.681985096,0.660870504,0.639161897
1,0.772059618,0.769359542,0.734798574,0.766227454,0.755913166,0.672480829,0.681985096,0.660870504
1,0.76606545,0.772059618,0.769359542,0.734798574,0.766227454,0.755913166,0.672480829,0.681985096
1,0.82179501,0.76606545,0.772059618,0.769359542,0.734798574,0.766227454,0.755913166,0.672480829
0,0.837617453,0.82179501,0.76606545,0.772059618,0.769359542,0.734798574,0.766227454,0.755913166
1,0.846311697,0.837617453,0.82179501,0.76606545,0.772059618,0.769359542,0.734798574,0.766227454
1,0.792256183,0.846311697,0.837617453,0.82179501,0.76606545,0.772059618,0.769359542,0.734798574
0,0.82179501,0.792256183,0.846311697,0.837617453,0.82179501,0.76606545,0.772059618,0.769359542
1,0.827195161,0.82179501,0.792256183,0.846311697,0.837617453,0.82179501,0.76606545,0.772059618
0,0.780915866,0.827195161,0.82179501,0.792256183,0.846311697,0.837617453,0.82179501,0.76606545
0,0.797656334,0.780915866,0.827195161,0.82179501,0.792256183,0.846311697,0.837617453,0.82179501
0,0.765147424,0.797656334,0.780915866,0.827195161,0.82179501,0.792256183,0.846311697,0.837617453
1,0.695809483,0.765147424,0.797656334,0.780915866,0.827195161,0.82179501,0.792256183,0.846311697
0,0.633275732,0.695809483,0.765147424,0.797656334,0.780915866,0.827195161,0.82179501,0.792256183
1,0.640781942,0.633275732,0.695809483,0.765147424,0.797656334,0.780915866,0.827195161,0.82179501
1,0.598606761,0.640781942,0.633275732,0.695809483,0.765147424,0.797656334,0.780915866,0.827195161
0,0.628469597,0.598606761,0.640781942,0.633275732,0.695809483,0.765147424,0.797656334,0.780915866
1,0.673182849,0.628469597,0.598606761,0.640781942,0.633275732,0.695809483,0.765147424,0.797656334
0,0.671994816,0.673182849,0.628469597,0.598606761,0.640781942,0.633275732,0.695809483,0.765147424
1,0.691975375,0.671994816,0.673182849,0.628469597,0.598606761,0.640781942,0.633275732,0.695809483
1,0.683119127,0.691975375,0.671994816,0.673182849,0.628469597,0.598606761,0.640781942,0.633275732
1,0.697051517,0.683119127,0.691975375,0.671994816,0.673182849,0.628469597,0.598606761,0.640781942
0,0.714169997,0.697051517,0.683119127,0.691975375,0.671994816,0.673182849,0.628469597,0.598606761
1,0.715088022,0.714169997,0.697051517,0.683119127,0.691975375,0.671994816,0.673182849,0.628469597
1,0.659844476,0.715088022,0.714169997,0.697051517,0.683119127,0.691975375,0.671994816,0.673182849
0,0.682633114,0.659844476,0.715088022,0.714169997,0.697051517,0.683119127,0.691975375,0.671994816
0,0.761691327,0.682633114,0.659844476,0.715088022,0.714169997,0.697051517,0.683119127,0.691975375
1,0.705799762,0.761691327,0.682633114,0.659844476,0.715088022,0.714169997,0.697051517,0.683119127
1,0.666864672,0.705799762,0.761691327,0.682633114,0.659844476,0.715088022,0.714169997,0.697051517
0,0.675558916,0.666864672,0.705799762,0.761691327,0.682633114,0.659844476,0.715088022,0.714169997
1,0.709687871,0.675558916,0.666864672,0.705799762,0.761691327,0.682633114,0.659844476,0.715088022
0,0.690139324,0.709687871,0.675558916,0.666864672,0.705799762,0.761691327,0.682633114,0.659844476
1,0.72464629,0.690139324,0.709687871,0.675558916,0.666864672,0.705799762,0.761691327,0.682633114
0,0.723296252,0.72464629,0.690139324,0.709687871,0.675558916,0.666864672,0.705799762,0.761691327
1,0.740414732,0.723296252,0.72464629,0.690139324,0.709687871,0.675558916,0.666864672,0.705799762
1,0.655092343,0.740414732,0.723296252,0.72464629,0.690139324,0.709687871,0.675558916,0.666864672
0,0.660384491,0.655092343,0.740414732,0.723296252,0.72464629,0.690139324,0.709687871,0.675558916
0,0.670266767,0.660384491,0.655092343,0.740414732,0.723296252,0.72464629,0.690139324,0.709687871
1,0.633437736,0.670266767,0.660384491,0.655092343,0.740414732,0.723296252,0.72464629,0.690139324
0,0.580624257,0.633437736,0.670266767,0.660384491,0.655092343,0.740414732,0.723296252,0.72464629
0,0.602062858,0.580624257,0.633437736,0.670266767,0.660384491,0.655092343,0.740414732,0.723296252
0,0.595852684,0.602062858,0.580624257,0.633437736,0.670266767,0.660384491,0.655092343,0.740414732
1,0.592288584,0.595852684,0.602062858,0.580624257,0.633437736,0.670266767,0.660384491,0.655092343
1,0.547359326,0.592288584,0.595852684,0.602062858,0.580624257,0.633437736,0.670266767,0.660384491
0,0.565395831,0.547359326,0.592288584,0.595852684,0.602062858,0.580624257,0.633437736,0.670266767
0,0.59072254,0.565395831,0.547359326,0.592288584,0.595852684,0.602062858,0.580624257,0.633437736
0,0.586564424,0.59072254,0.565395831,0.547359326,0.592288584,0.595852684,0.602062858,0.580624257
0,0.483907549,0.586564424,0.59072254,0.565395831,0.547359326,0.592288584,0.595852684,0.602062858
1,0.404147316,0.483907549,0.586564424,0.59072254,0.565395831,0.547359326,0.592288584,0.595852684
0,0.320930986,0.404147316,0.483907549,0.586564424,0.59072254,0.565395831,0.547359326,0.592288584
1,0.332109299,0.320930986,0.404147316,0.483907549,0.586564424,0.59072254,0.565395831,0.547359326
1,0.305756561,0.332109299,0.320930986,0.404147316,0.483907549,0.586564424,0.59072254,0.565395831
0,0.349011772,0.305756561,0.332109299,0.320930986,0.404147316,0.483907549,0.586564424,0.59072254
0,0.391942974,0.349011772,0.305756561,0.332109299,0.320930986,0.404147316,0.483907549,0.586564424
0,0.222108219,0.391942974,0.349011772,0.305756561,0.332109299,0.320930986,0.404147316,0.483907549
1,0.210659898,0.222108219,0.391942974,0.349011772,0.305756561,0.332109299,0.320930986,0.404147316
1,0.190517334,0.210659898,0.222108219,0.391942974,0.349011772,0.305756561,0.332109299,0.320930986
0,0.288368074,0.190517334,0.210659898,0.222108219,0.391942974,0.349011772,0.305756561,0.332109299
1,0.292958203,0.288368074,0.190517334,0.210659898,0.222108219,0.391942974,0.349011772,0.305756561
0,0.243654822,0.292958203,0.288368074,0.190517334,0.210659898,0.222108219,0.391942974,0.349011772
