,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2657,Hyundai i10 Era,2012,60000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5.0,2650.0
2218,Toyota Fortuner 4x2 Manual,2015,73500,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,22000.0
4267,Mercedes-Benz E-Class 230 E AT,2009,28888,Petrol,Automatic,First,10.0 kmpl,2496 CC,157.7 bhp,5.0,7560.0
3154,Volkswagen Polo Petrol Trendline 1.2L,2012,41000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,3100.0
4755,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,2016,52000,Diesel,Automatic,First,15.68 kmpl,1999 CC,177 bhp,5.0,42000.0
3327,Ford Ecosport 1.5 DV5 MT Titanium Optional,2013,65000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,5100.0
3371,Hyundai Grand i10 SportZ Edition,2015,50000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,4750.0
4816,BMW 5 Series 2003-2012 540i Sedan,2006,48000,Petrol,Automatic,Second,11.62 kmpl,2979 CC,306 bhp,5.0,6990.0
521,Land Rover Range Rover HSE Dynamic,2017,49275,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5.0,45640.0
1257,Mahindra XUV500 W8 2WD,2013,43000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,7000.0
1908,BMW 5 Series 2007-2010 525d Sedan,2012,49000,Diesel,Automatic,Second,16.73 kmpl,2495 CC,218 bhp,5.0,15500.0
214,Maruti Wagon R AMT VXI,2016,8500,Petrol,Automatic,First,20.51 kmpl,998 CC,67 bhp,5.0,4220.0
3548,Mahindra Scorpio S6 Plus 7 Seater,2016,32000,Diesel,Manual,First,15.4 kmpl,2179 CC,120 bhp,7.0,9750.0
3690,Volkswagen Vento Diesel Highline,2011,51100,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,3400.0
3816,Audi A6 2.7 TDI,2011,112719,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5.0,11500.0
828,Hyundai i20 Asta Option 1.2,2017,58620,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,7140.0
3201,Honda City i VTEC SV,2017,38424,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,7510.0
5645,Hyundai Verna 1.6 SX VTVT (O),2013,49000,Petrol,Manual,First,17.1 kmpl,1591 CC,121.3 bhp,5.0,4500.0
